Index,Symbol,Company Name,Market Cap,Last Sale,% Change,Revenue
785,AMPL,"Amplitude, Inc.",1.51B,11.65,-1.19%,299.27M
786,LZMH,LZ Technology Holdings Limited,1.51B,9.93,-2.84%,113.86M
787,PLTK,Playtika Holding Corp.,1.51B,4.010,-10.29%,2.55B
788,MCRI,"Monarch Casino & Resort, Inc.",1.50B,81.19,0.02%,522.19M
789,IMCR,Immunocore Holdings plc,1.49B,29.81,-2.04%,310.20M
790,RUN,Sunrun Inc.,1.49B,6.59,-1.79%,2.04B
791,PLUG,Plug Power Inc.,1.49B,1.530,-3.77%,628.81M
792,HIMX,"Himax Technologies, Inc.",1.48B,8.46,-2.20%,906.80M
793,WVE,Wave Life Sciences Ltd.,1.47B,9.59,-0.83%,108.30M
794,ADEA,Adeia Inc.,1.47B,13.64,-1.23%,376.02M
795,ATSG,"Air Transport Services Group, Inc.",1.46B,22.33,0.04%,1.96B
796,PZZA,"Papa John's International, Inc.",1.46B,44.72,-1.61%,2.06B
797,EH,EHang Holdings Limited,1.46B,23.05,1.72%,62.49M
798,IAS,Integral Ad Science Holding Corp.,1.46B,8.90,-1.00%,530.10M
799,SPT,"Sprout Social, Inc.",1.45B,25.17,0.32%,405.91M
800,TFIN,"Triumph Financial, Inc.",1.44B,61.59,0.24%,396.29M
801,ATEC,"Alphatec Holdings, Inc.",1.43B,9.93,-2.65%,611.56M
802,ANDE,"The Andersons, Inc.",1.43B,42.32,-2.74%,11.26B
803,GABC,"German American Bancorp, Inc.",1.43B,38.20,-0.37%,250.48M
804,DMLP,"Dorchester Minerals, L.P.",1.43B,30.12,-0.33%,154.64M
805,UPBD,"Upbound Group, Inc.",1.42B,24.81,0.73%,4.32B
806,STBA,"S&T Bancorp, Inc.",1.42B,37.03,-0.56%,383.76M
807,RDFN,Redfin Corporation,1.40B,11.04,-1.34%,1.04B
808,SONO,"Sonos, Inc.",1.39B,11.71,0.09%,1.46B
809,PCT,"PureCycle Technologies, Inc.",1.39B,7.77,1.83%,
810,FORTY,Formula Systems (1985) Ltd.,1.37B,93.75,,2.76B
811,DYN,"Dyne Therapeutics, Inc.",1.37B,12.08,-1.47%,
812,DXPE,"DXP Enterprises, Inc.",1.37B,87.00,-0.84%,1.80B
813,WABC,Westamerica Bancorporation,1.36B,51.09,-0.58%,293.25M
814,NAVI,Navient Corporation,1.36B,13.33,-1.55%,848.00M
815,GDYN,"Grid Dynamics Holdings, Inc.",1.36B,16.26,-0.55%,350.57M
816,SABR,Sabre Corporation,1.35B,3.500,2.04%,3.03B
817,TNDM,"Tandem Diabetes Care, Inc.",1.35B,20.29,-1.74%,940.20M
818,AMPH,"Amphastar Pharmaceuticals, Inc.",1.35B,28.29,1.36%,731.97M
819,AHCO,AdaptHealth Corp.,1.35B,9.99,-0.20%,3.26B
820,HUT,Hut 8 Corp.,1.34B,12.90,-0.15%,162.39M
821,VBTX,"Veritex Holdings, Inc.",1.34B,24.52,0.16%,405.54M
822,PLAB,"Photronics, Inc.",1.34B,21.01,-1.62%,862.75M
823,KARO,Karooooo Ltd.,1.33B,43.20,4.35%,245.97M
824,DSGR,"Distribution Solutions Group, Inc.",1.33B,28.65,-1.82%,1.80B
825,VRNT,Verint Systems Inc.,1.33B,21.40,-2.24%,920.75M
826,TCBK,TriCo Bancshares,1.33B,40.39,-0.20%,389.19M
827,SEZL,Sezzle Inc.,1.33B,235.93,1.71%,271.13M
828,LILA,Liberty Latin America Ltd.,1.33B,6.73,-0.96%,4.46B
829,LILAK,Liberty Latin America Ltd.,1.32B,6.70,-1.90%,4.46B
830,VITL,"Vital Farms, Inc.",1.32B,29.79,0.91%,606.31M
831,ARHS,"Arhaus, Inc.",1.31B,9.32,0.70%,1.27B
832,INOD,Innodata Inc.,1.31B,41.82,-2.72%,170.46M
833,ANIP,"ANI Pharmaceuticals, Inc.",1.30B,64.26,-0.14%,614.38M
834,CLDX,"Celldex Therapeutics, Inc.",1.30B,19.64,-1.21%,7.02M
835,SASR,"Sandy Spring Bancorp, Inc.",1.30B,28.82,-0.79%,392.25M
836,SGML,Sigma Lithium Corporation,1.30B,11.68,0.43%,142.75M
837,INMD,InMode Ltd.,1.30B,18.63,1.09%,394.82M
838,XMTR,"Xometry, Inc.",1.29B,25.72,0.35%,545.53M
839,LQDA,Liquidia Corporation,1.29B,15.12,-2.07%,14.00M
840,OCSL,Oaktree Specialty Lending Corporation,1.28B,15.62,-0.45%,370.33M
841,TXG,"10x Genomics, Inc.",1.27B,10.39,4.42%,610.79M
842,CCB,Coastal Financial Corporation,1.27B,84.48,-0.65%,303.63M
843,NEO,"NeoGenomics, Inc.",1.27B,9.86,-0.70%,660.57M
844,VSAT,"Viasat, Inc.",1.26B,9.78,1.87%,4.52B
845,HOPE,"Hope Bancorp, Inc.",1.26B,10.45,0.19%,457.65M
846,MLKN,"MillerKnoll, Inc.",1.26B,18.49,-2.48%,3.59B
847,UDMY,"Udemy, Inc.",1.26B,8.51,,786.57M
848,BUSE,First Busey Corporation,1.26B,22.05,0.18%,453.70M
849,ADPT,Adaptive Biotechnologies Corporation,1.25B,8.40,8.39%,178.96M
850,RBCAA,"Republic Bancorp, Inc.",1.24B,63.87,-1.59%,330.43M
851,ETNB,"89bio, Inc.",1.24B,8.52,-2.41%,
852,VRDN,"Viridian Therapeutics, Inc.",1.24B,15.26,-0.39%,302.00K
853,ULCC,"Frontier Group Holdings, Inc.",1.24B,5.47,-0.91%,3.78B
854,KMTS,"Kestra Medical Technologies, Ltd.",1.24B,24.94,4.35%,45.82M
855,GO,Grocery Outlet Holding Corp.,1.23B,12.68,0.40%,4.37B
856,FLYW,Flywire Corporation,1.23B,9.96,-1.58%,492.14M
857,ACDC,ProFrac Holding Corp.,1.23B,7.67,-0.78%,2.19B
858,WULF,TeraWulf Inc.,1.23B,3.200,-0.31%,140.05M
859,VECO,Veeco Instruments Inc.,1.23B,21.16,-2.17%,717.30M
860,ARDX,"Ardelyx, Inc.",1.22B,5.13,-6.56%,333.62M
861,NVAX,"Novavax, Inc.",1.22B,7.60,-1.55%,682.16M
862,NVEE,"NV5 Global, Inc.",1.22B,18.70,-0.90%,941.27M
863,DCOM,"Dime Community Bancshares, Inc.",1.22B,27.93,-1.10%,277.99M
864,UNIT,Uniti Group Inc.,1.22B,4.990,,1.17B
865,MFIC,MidCap Financial Investment Corporation,1.22B,12.99,0.08%,301.78M
866,QCRH,"QCR Holdings, Inc.",1.21B,71.77,-1.25%,330.22M
867,SPRY,"ARS Pharmaceuticals, Inc.",1.21B,12.36,-13.63%,89.15M
868,COMM,"CommScope Holding Company, Inc.",1.21B,5.60,2.00%,4.21B
869,NYAX,Nayax Ltd.,1.21B,33.52,-3.12%,314.01M
870,EVO,Evotec SE,1.21B,3.510,-0.28%,866.67M
871,OPK,"OPKO Health, Inc.",1.21B,1.800,-1.10%,713.14M
872,WLFC,Willis Lease Finance Corporation,1.21B,182.96,-1.60%,557.54M
873,HELE,Helen of Troy Limited,1.21B,52.85,1.26%,1.91B
874,INDV,Indivior PLC,1.21B,9.82,1.45%,1.19B
875,TASK,"TaskUs, Inc.",1.20B,13.38,-1.18%,994.99M
876,GPCR,Structure Therapeutics Inc.,1.20B,20.97,-4.12%,
877,CRAI,"CRA International, Inc.",1.19B,175.92,-1.08%,687.41M
878,OCUL,"Ocular Therapeutix, Inc.",1.19B,7.51,0.94%,63.72M
879,HLIT,Harmonic Inc.,1.19B,10.19,-1.45%,678.72M
880,NMFC,New Mountain Finance Corporation,1.19B,11.00,-0.72%,371.67M
881,DAVE,Dave Inc.,1.19B,90.57,3.17%,347.08M
882,SNDX,"Syndax Pharmaceuticals, Inc.",1.18B,13.71,-2.77%,23.68M
883,BLFS,"BioLife Solutions, Inc.",1.17B,24.99,-0.28%,82.25M
884,MDXG,"MiMedx Group, Inc.",1.17B,7.94,-0.38%,348.88M
885,IMKT.A,"Ingles Markets, Incorporated",1.17B,61.60,-2.24%,5.45B
886,IMKTA,"Ingles Markets, Incorporated",1.17B,61.60,-2.24%,5.45B
887,IOVA,"Iovance Biotherapeutics, Inc.",1.16B,3.540,,164.07M
888,GERN,Geron Corporation,1.16B,1.820,4.00%,76.99M
889,AUPH,Aurinia Pharmaceuticals Inc.,1.16B,8.44,1.44%,235.13M
890,IGIC,International General Insurance Holdings Ltd.,1.16B,26.23,-2.89%,539.00M
891,CMPO,"CompoSecure, Inc.",1.16B,11.30,-0.96%,420.57M
892,TILE,"Interface, Inc.",1.15B,19.74,-0.10%,1.32B
893,GIII,"G-III Apparel Group, Ltd.",1.15B,26.20,-1.69%,3.18B
894,CCEC,Capital Clean Energy Carriers Corp.,1.15B,19.63,-0.76%,369.41M
895,ESTA,Establishment Labs Holdings Inc.,1.14B,39.67,0.53%,166.03M
896,CRCT,"Cricut, Inc.",1.14B,5.36,-0.56%,712.54M
897,SAFT,"Safety Insurance Group, Inc.",1.14B,76.52,-0.79%,1.12B
898,WINA,Winmark Corporation,1.13B,319.52,-0.90%,81.29M
899,CSWC,Capital Southwest Corporation,1.13B,22.30,0.36%,198.46M
900,SBGI,"Sinclair, Inc.",1.13B,16.96,1.19%,3.55B
901,WBTN,WEBTOON Entertainment Inc.,1.12B,8.73,0.81%,1.35B
902,MRTN,"Marten Transport, Ltd.",1.12B,13.75,0.66%,963.71M
903,NNE,NANO Nuclear Energy Inc.,1.12B,30.19,-2.36%,
904,PCRX,"Pacira BioSciences, Inc.",1.12B,24.14,1.34%,700.97M
905,PFBC,Preferred Bank,1.11B,84.43,0.58%,274.09M
906,CLMT,"Calumet, Inc.",1.10B,12.72,-4.93%,4.19B
907,SYRE,"Spyre Therapeutics, Inc.",1.10B,18.17,0.11%,
908,UCTT,"Ultra Clean Holdings, Inc.",1.09B,24.25,-1.74%,2.10B
909,INVA,"Innoviva, Inc.",1.08B,17.27,0.35%,358.71M
910,MOMO,Hello Group Inc.,1.08B,6.57,-1.50%,1.45B
911,BLBD,Blue Bird Corporation,1.08B,33.55,-3.20%,1.34B
912,CMPR,Cimpress plc,1.08B,43.32,-1.90%,3.36B
913,MXL,"MaxLinear, Inc.",1.07B,12.70,-2.08%,360.53M
914,MSEX,Middlesex Water Company,1.07B,59.97,0.86%,191.88M
915,CDNA,"CareDx, Inc",1.07B,19.32,2.22%,333.79M
916,LOT,Lotus Technology Inc.,1.07B,1.580,5.33%,1.01B
917,FBYD,"Falcon's Beyond Global, Inc.",1.07B,8.30,-1.19%,7.53M
918,LUNR,"Intuitive Machines, Inc.",1.07B,7.09,-0.28%,203.90M
919,BGM,BGM Group Ltd.,1.07B,10.99,22.93%,25.10M
920,DGII,Digi International Inc.,1.07B,28.91,-1.09%,421.82M
921,HTZ,"Hertz Global Holdings, Inc.",1.06B,3.465,3.43%,9.05B
922,KALU,Kaiser Aluminum Corporation,1.06B,66.28,-4.14%,3.02B
923,FSUN,FirstSun Capital Bancorp,1.06B,38.08,0.12%,359.15M
924,CRSR,"Corsair Gaming, Inc.",1.06B,10.07,1.31%,1.32B
925,CIFR,Cipher Mining Inc.,1.06B,2.920,-2.67%,151.27M
926,BBSI,"Barrett Business Services, Inc.",1.05B,40.82,-0.39%,1.14B
927,TSAT,Telesat Corporation,1.05B,20.89,-3.02%,450.76M
928,QNST,"QuinStreet, Inc.",1.05B,18.58,1.75%,928.72M
929,FOXF,Fox Factory Holding Corp.,1.04B,25.02,0.48%,1.39B
930,PEBO,Peoples Bancorp Inc.,1.04B,29.73,-0.20%,565.39M
931,KRNT,Kornit Digital Ltd.,1.04B,21.82,1.82%,203.83M
932,OCS,Oculis Holding AG,1.04B,19.57,-0.36%,757.02K
933,ELVN,"Enliven Therapeutics, Inc.",1.03B,21.08,0.76%,
934,AVAH,Aveanna Healthcare Holdings Inc.,1.03B,5.29,-3.11%,2.02B
935,GRAL,"GRAIL, Inc.",1.03B,30.29,8.92%,125.60M
936,APOG,"Apogee Enterprises, Inc.",1.03B,46.73,-0.76%,1.38B
937,EYE,"National Vision Holdings, Inc.",1.03B,13.02,1.56%,1.82B
938,EVER,"EverQuote, Inc.",1.03B,28.71,2.35%,500.19M
939,TTGT,"TechTarget, Inc.",1.03B,14.35,0.63%,260.75M
940,PENG,"Penguin Solutions, Inc.",1.02B,19.16,-2.99%,1.24B
941,AAOI,"Applied Optoelectronics, Inc.",1.01B,20.43,-3.08%,249.37M
942,TRIN,Trinity Capital Inc.,1.01B,16.14,-0.06%,226.73M
943,HROW,"Harrow, Inc.",1.01B,28.41,1.14%,169.14M
944,RXST,"RxSight, Inc.",1.01B,24.82,-0.32%,139.93M
945,BFC,Bank First Corporation,1.00B,100.53,-2.62%,158.25M
946,OCFC,OceanFirst Financial Corp.,995.57M,17.04,-0.76%,375.23M
947,EOSE,"Eos Energy Enterprises, Inc.",994.77M,4.390,3.05%,15.61M
948,FWRG,"First Watch Restaurant Group, Inc.",991.84M,16.34,-3.03%,1.02B
949,SEDG,"SolarEdge Technologies, Inc.",988.24M,17.03,-0.53%,901.46M
950,PLSE,"Pulse Biosciences, Inc.",987.96M,16.06,-0.93%,
951,NRIX,"Nurix Therapeutics, Inc.",985.77M,12.99,-6.34%,54.55M
952,AMSF,"AMERISAFE, Inc.",984.66M,51.72,0.41%,309.11M
953,TRS,TriMas Corporation,984.14M,24.25,-3.00%,925.01M
954,TBLA,Taboola.com Ltd.,982.28M,2.920,-2.01%,1.77B
955,LQDT,"Liquidity Services, Inc.",980.84M,31.60,2.27%,414.32M
956,FLNC,"Fluence Energy, Inc.",976.73M,5.38,-0.92%,2.52B
957,GOGO,Gogo Inc.,974.62M,7.42,-3.89%,444.71M
958,ALGT,Allegiant Travel Company,974.49M,54.96,3.64%,2.51B
959,BRKL,"Brookline Bancorp, Inc.",967.68M,10.86,-0.46%,333.56M
960,RDWR,Radware Ltd.,965.46M,22.99,1.64%,274.88M
961,HSTM,"HealthStream, Inc.",960.20M,31.55,-0.63%,291.65M
962,QUBT,Quantum Computing Inc.,953.40M,7.39,,373.00K
963,VIR,"Vir Biotechnology, Inc.",950.40M,6.94,1.02%,74.21M
964,COLL,"Collegium Pharmaceutical, Inc.",946.14M,30.05,0.40%,631.45M
965,LMB,"Limbach Holdings, Inc.",940.63M,82.85,1.14%,518.78M
966,DNUT,"Krispy Kreme, Inc.",935.33M,5.50,-2.48%,1.67B
967,NTLA,"Intellia Therapeutics, Inc.",931.66M,9.00,3.45%,57.88M
968,XNCR,"Xencor, Inc.",930.10M,13.20,-2.00%,110.49M
969,CTBI,"Community Trust Bancorp, Inc.",927.90M,51.26,0.14%,237.61M
970,THRM,Gentherm Incorporated,926.13M,30.08,-0.95%,1.46B
971,SLRC,SLR Investment Corp.,921.43M,16.89,-0.65%,232.43M
972,BELFB,Bel Fuse Inc.,920.89M,73.55,-1.83%,534.79M
973,BELFA,Bel Fuse Inc.,914.21M,72.91,-2.13%,534.79M
974,MYGN,"Myriad Genetics, Inc.",914.00M,10.01,1.01%,837.60M
975,HEPS,D-Market Elektronik Hizmetler ve Ticaret A.S.,912.80M,2.810,-6.95%,1.17B
976,ECX,ECARX Holdings Inc.,912.73M,2.660,-1.85%,761.92M
977,REAX,The Real Brokerage Inc.,911.76M,4.470,1.36%,1.26B
978,DCBO,Docebo Inc.,911.09M,30.03,-0.99%,216.93M
979,USAR,"USA Rare Earth, Inc.",909.67M,11.10,-7.50%,
980,GYRE,"Gyre Therapeutics, Inc.",908.98M,9.71,-4.99%,105.76M
981,ICHR,"Ichor Holdings, Ltd.",904.83M,26.61,-2.46%,849.04M
982,VMEO,"Vimeo, Inc.",901.74M,5.47,-0.91%,417.01M
983,PTLO,Portillo's Inc.,901.20M,12.08,-2.27%,710.55M
984,CNOB,"ConnectOne Bancorp, Inc.",901.12M,23.55,-0.17%,250.27M
985,CBRL,"Cracker Barrel Old Country Store, Inc.",899.00M,40.38,-1.15%,3.51B
986,RCKT,"Rocket Pharmaceuticals, Inc.",898.89M,8.43,1.32%,
987,AMAL,Amalgamated Financial Corp.,894.54M,29.15,-0.65%,304.26M
988,XERS,"Xeris Biopharma Holdings, Inc.",894.39M,5.81,7.00%,203.07M
989,ATRO,Astronics Corporation,894.07M,25.35,1.40%,795.43M
990,XPEL,"XPEL, Inc.",892.34M,32.27,,420.40M
991,OLPX,"Olaplex Holdings, Inc.",890.59M,1.340,-0.74%,422.67M
992,PAHC,Phibro Animal Health Corporation,887.03M,21.90,0.41%,1.11B
993,ERII,"Energy Recovery, Inc.",885.33M,16.11,-1.23%,144.95M
994,ZYME,Zymeworks Inc.,885.02M,12.72,-1.62%,76.30M
995,STAA,STAAR Surgical Company,873.76M,17.72,-1.12%,313.90M
996,CGBD,"Carlyle Secured Lending, Inc.",872.89M,17.13,-0.41%,232.59M
997,AMWD,American Woodmark Corporation,871.98M,58.78,-2.54%,1.76B
998,NSSC,"Napco Security Technologies, Inc.",871.45M,23.94,-1.24%,186.53M
999,OPEN,Opendoor Technologies Inc.,868.22M,1.200,0.84%,5.15B
1000,ARRY,"Array Technologies, Inc.",864.96M,5.69,-0.18%,915.81M
1001,HSII,"Heidrick & Struggles International, Inc.",863.95M,42.33,-1.10%,1.10B
1002,BHRB,Burke & Herbert Financial Services Corp.,863.00M,57.60,-0.48%,233.03M
1003,TIPT,Tiptree Inc.,859.94M,23.08,-1.83%,2.04B
1004,PGY,Pagaya Technologies Ltd.,856.14M,11.37,0.53%,1.03B
1005,CECO,CECO Environmental Corp.,850.61M,24.31,1.72%,557.93M
1006,EVGO,"EVgo, Inc.",845.45M,2.760,0.36%,256.83M
1007,MLYS,"Mineralys Therapeutics, Inc.",840.73M,16.87,0.84%,
1008,FMBH,"First Mid Bancshares, Inc.",839.86M,35.02,-0.62%,319.38M
1009,PHVS,Pharvaris N.V.,835.19M,15.40,-0.39%,
1010,DAWN,"Day One Biopharmaceuticals, Inc.",834.15M,8.23,-1.20%,131.16M
1011,REPL,"Replimune Group, Inc.",833.30M,10.83,-6.64%,
1012,UVSP,Univest Financial Corporation,830.61M,28.64,-0.28%,293.05M
1013,SCSC,"ScanSource, Inc.",828.97M,35.33,-3.60%,3.02B
1014,EOLS,"Evolus, Inc.",828.54M,13.03,-1.66%,266.27M
1015,AVXL,Anavex Life Sciences Corp.,828.53M,9.74,-1.91%,
1016,AVDL,Avadel Pharmaceuticals plc,828.11M,8.57,-1.15%,169.12M
1017,ECPG,"Encore Capital Group, Inc.",824.22M,34.79,0.81%,1.32B
1018,JBSS,"John B. Sanfilippo & Son, Inc.",820.02M,70.46,-0.47%,1.12B
1019,IIIV,"i3 Verticals, Inc.",819.25M,24.77,0.77%,236.56M
1020,RDUS,"Radius Recycling, Inc.",817.91M,29.05,0.21%,2.72B
1021,PRCH,"Porch Group, Inc.",816.44M,6.80,6.25%,437.85M
1022,ASTE,"Astec Industries, Inc.",813.33M,35.62,-3.02%,1.31B
1023,PDFS,"PDF Solutions, Inc.",813.17M,20.79,-0.81%,179.47M
1024,HFWA,Heritage Financial Corporation,808.30M,23.78,0.55%,210.56M
1025,PNTG,"The Pennant Group, Inc.",805.66M,23.40,-3.03%,695.24M
1026,PRAA,"PRA Group, Inc.",804.81M,20.37,-0.20%,1.11B
1027,CRESY,"Cresud Sociedad Anónima, Comercial, Inmobiliaria, Financiera y Agropecuaria",798.79M,11.11,1.09%,693.19M
1028,HCKT,"The Hackett Group, Inc.",792.88M,28.53,-0.66%,307.03M
1029,COGT,"Cogent Biosciences, Inc.",791.46M,7.16,-1.78%,
1030,FTRE,Fortrea Holdings Inc.,791.05M,8.77,,2.70B
1031,DSP,Viant Technology Inc.,785.90M,12.46,2.05%,289.24M
1032,AXGN,"Axogen, Inc.",785.77M,17.72,-1.77%,187.34M
1033,PPTA,Perpetua Resources Corp.,785.21M,11.20,-2.27%,
1034,CMRX,"Chimerix, Inc.",783.78M,8.50,0.35%,212.00K
1035,CNCK,Coincheck Group N.V.,783.41M,6.04,5.04%,2.35B
1036,AMSC,American Superconductor Corporation,782.88M,19.84,-1.15%,198.19M
1037,EZPW,"EZCORP, Inc.",782.87M,14.25,2.67%,1.18B
1038,NBN,Northeast Bank,780.92M,91.95,-0.69%,172.13M
1039,GHRS,GH Research PLC,775.35M,12.50,3.56%,
1040,AIOT,"PowerFleet, Inc.",774.86M,5.85,0.52%,292.95M
1041,BJRI,"BJ's Restaurants, Inc.",773.55M,34.05,0.41%,1.36B
1042,COHU,"Cohu, Inc.",773.52M,16.56,-1.95%,401.78M
1043,AOSL,Alpha and Omega Semiconductor Limited,773.32M,26.29,-1.61%,666.40M
1044,HCSG,"Healthcare Services Group, Inc.",765.74M,10.42,-1.23%,1.72B
1045,NESR,National Energy Services Reunited Corp.,765.49M,7.97,-0.38%,1.30B
1046,PLAY,"Dave & Buster's Entertainment, Inc.",765.05M,19.87,2.85%,2.20B
1047,ATLC,Atlanticus Holdings Corporation,763.48M,50.51,-1.50%,399.94M
1048,RGC,Regencell Bioscience Holdings Limited,762.94M,58.63,30.29%,
1049,OSBC,"Old Second Bancorp, Inc.",762.20M,16.92,0.59%,271.80M
1050,BASE,"Couchbase, Inc.",757.47M,14.47,1.54%,209.47M
1051,UXIN,Uxin Limited,757.42M,4.030,-1.95%,232.10M
1052,ADSE,ADS-TEC Energy PLC,753.77M,14.03,1.74%,158.97M
1053,PRAX,"Praxis Precision Medicines, Inc.",748.46M,37.12,-1.51%,8.55M
1054,EMBC,Embecta Corp.,745.28M,12.82,-3.10%,1.11B
1055,CFFN,"Capitol Federal Financial, Inc.",745.23M,5.74,-0.17%,181.72M
1056,QURE,uniQure N.V.,740.85M,13.70,-1.65%,27.12M
1057,ITRN,Ituran Location and Control Ltd.,735.66M,36.98,0.16%,336.26M
1058,ADTN,"ADTRAN Holdings, Inc.",735.51M,9.21,1.88%,922.72M
1059,CBLL,"CeriBell, Inc.",732.43M,20.42,0.74%,65.44M
1060,SSYS,Stratasys Ltd.,731.46M,10.19,-2.58%,572.46M
1061,UFCS,"United Fire Group, Inc.",729.97M,28.76,-0.96%,1.25B
1062,LENZ,"LENZ Therapeutics, Inc.",729.61M,26.49,0.72%,
1063,HTLD,"Heartland Express, Inc.",728.94M,9.28,-0.64%,1.05B
1064,ABCL,AbCellera Biologics Inc.,727.09M,2.440,2.52%,28.83M
1065,GDEN,"Golden Entertainment, Inc.",724.28M,27.32,-2.57%,666.82M
1066,BFST,"Business First Bancshares, Inc.",722.56M,24.45,-1.05%,260.70M
1067,BCAX,Bicara Therapeutics Inc.,720.46M,13.24,1.15%,
1068,SWIM,"Latham Group, Inc.",720.13M,6.22,-0.96%,508.52M
1069,NBBK,"NB Bancorp, Inc.",718.68M,18.62,-1.32%,160.61M
1070,MBWM,Mercantile Bank Corporation,718.22M,44.25,-0.65%,224.08M
1071,GSM,Ferroglobe PLC,717.72M,3.820,-6.14%,1.64B
1072,HBT,"HBT Financial, Inc.",717.66M,22.86,-2.18%,221.39M
1073,ABL,"Abacus Global Management, Inc.",717.34M,7.64,2.96%,102.41M
1074,MATW,Matthews International Corporation,716.93M,23.15,,1.75B
1075,IMNM,"Immunome, Inc.",711.26M,8.18,-5.54%,9.04M
1076,RBBN,Ribbon Communications Inc.,704.65M,4.010,,833.88M
1077,ATEX,Anterix Inc.,702.58M,37.80,-1.05%,5.90M
1078,PSIX,"Power Solutions International, Inc.",702.41M,30.54,-4.56%,436.42M
1079,PLPC,Preformed Line Products Company,700.93M,141.86,-4.50%,593.71M
1080,FCBC,"First Community Bankshares, Inc.",700.45M,38.22,-1.24%,162.26M
1081,SHEN,Shenandoah Telecommunications Company,698.71M,12.78,2.65%,328.06M
1082,PRTA,Prothena Corporation plc,698.14M,12.97,0.78%,135.16M
1083,FUFU,BitFuFu Inc.,697.22M,4.280,-5.10%,452.74M
1084,ULH,"Universal Logistics Holdings, Inc.",696.62M,26.47,-0.82%,1.85B
1085,FDUS,Fidus Investment Corporation,695.93M,20.52,0.24%,146.15M
1086,AVO,"Mission Produce, Inc.",693.66M,9.76,-2.89%,1.31B
1087,REAL,"The RealReal, Inc.",693.07M,6.23,-1.11%,600.48M
1088,TREE,"LendingTree, Inc.",692.18M,51.68,0.56%,900.22M
1089,CAC,Camden National Corporation,692.13M,41.04,-0.97%,177.40M
1090,MCBS,"MetroCity Bankshares, Inc.",690.96M,27.17,-1.16%,140.69M
1091,XRX,Xerox Holdings Corporation,690.30M,5.51,-2.30%,6.22B
1092,CRON,Cronos Group Inc.,687.90M,1.790,-1.65%,117.62M
1093,BMBL,Bumble Inc.,687.45M,4.530,-1.95%,1.07B
1094,NTGR,"NETGEAR, Inc.",682.17M,23.63,-2.32%,673.76M
1095,IMOS,ChipMOS TECHNOLOGIES INC.,681.48M,18.49,-1.02%,692.37M
1096,GRPN,"Groupon, Inc.",680.37M,17.09,3.45%,492.56M
1097,MLAB,"Mesa Laboratories, Inc.",679.96M,125.14,1.33%,237.75M
1098,WRLD,World Acceptance Corporation,676.41M,125.40,0.24%,558.62M
1099,NRDS,"NerdWallet, Inc.",675.12M,9.11,1.11%,687.60M
1100,CEVA,"CEVA, Inc.",674.92M,28.35,-2.88%,106.94M
1101,SNCY,"Sun Country Airlines Holdings, Inc.",672.87M,12.81,-0.77%,1.08B
1102,WOOF,"Petco Health and Wellness Company, Inc.",672.60M,2.440,1.24%,6.24B
1103,HBNC,"Horizon Bancorp, Inc.",672.54M,15.28,-2.11%,186.19M
1104,HAFC,Hanmi Financial Corporation,672.39M,22.46,1.63%,229.94M
1105,IRMD,IRADIMED CORPORATION,665.38M,52.33,-0.32%,73.24M
1106,KRUS,"Kura Sushi USA, Inc.",665.21M,55.13,2.72%,250.84M
1107,AVBP,"ArriVent BioPharma, Inc.",664.00M,19.52,-0.10%,
1108,SPTN,SpartanNash Company,662.47M,19.62,-2.44%,9.55B
1109,MGIC,Magic Software Enterprises Ltd.,662.35M,13.49,0.37%,552.52M
1110,VINP,Vinci Partners Investments Ltd.,662.24M,10.34,0.10%,97.14M
1111,CRMD,CorMedix Inc.,661.99M,10.91,0.46%,12.26M
1112,BLMN,"Bloomin' Brands, Inc.",660.76M,7.78,-3.83%,3.95B
1113,CSIQ,Canadian Solar Inc.,658.99M,9.96,-1.87%,6.17B
1114,TCPC,BlackRock TCP Capital Corp.,657.65M,7.73,0.13%,259.44M
1115,THRY,"Thryv Holdings, Inc.",655.77M,15.12,0.33%,824.16M
1116,GSBC,"Great Southern Bancorp, Inc.",655.63M,56.53,-1.07%,214.29M
1117,AMRK,"A-Mark Precious Metals, Inc.",654.21M,28.42,-3.27%,10.59B
1118,CCAP,"Crescent Capital BDC, Inc.",653.40M,17.63,-0.62%,197.36M
1119,GOOD,Gladstone Commercial Corporation,651.54M,14.73,-0.94%,149.39M
1120,IBCP,Independent Bank Corporation,651.41M,31.06,0.06%,218.14M
1121,DGICA,Donegal Group Inc.,649.70M,18.23,-0.95%,989.61M
1122,WEST,Westrock Coffee Company,649.23M,6.89,5.67%,850.73M
1123,OFIX,Orthofix Medical Inc.,648.94M,16.63,-1.60%,799.49M
1124,CVAC,CureVac N.V.,648.27M,2.890,-2.69%,70.57M
1125,BBNX,"Beta Bionics, Inc.",647.18M,15.10,-3.76%,53.03M
1126,EGBN,"Eagle Bancorp, Inc.",645.46M,21.37,-0.97%,244.39M
1127,ASTL,Algoma Steel Group Inc.,644.88M,6.15,-2.54%,1.71B
1128,TRNS,"Transcat, Inc.",643.01M,69.03,-1.34%,272.20M
1129,IPX,IperionX Limited,641.67M,20.20,-1.22%,
1130,DGICB,Donegal Group Inc.,640.16M,16.52,13.93%,989.61M
1131,BVS,Bioventus Inc.,638.41M,9.67,-0.72%,573.28M
1132,KURA,"Kura Oncology, Inc.",633.12M,7.84,-0.13%,53.88M
